bioguide_id,birthday,chamber,contact_form,crp_id,district,facebook_id,fax,fec_ids,first_name,gender,govtrack_id,icpsr_id,in_office,last_name,leadership_role,lis_id,middle_name,name_suffix,nickname,oc_email,ocd_id,office,other_names,party,phone,senate_class,state,state_name,state_rank,term_end,term_start,thomas_id,title,twitter_id,votesmart_id,website,youtube_id,ntweets,nfollowers,twitter_screen_name
0,T000476,1960-08-30,senate,,N00035492,,1576257352609470,,[S4NC00162],Thom,M,412668,,True,Tillis,,S384,,,,Sen.Tillis@opencongress.org,ocd-division/country:us/state:nc,G55 Dirksen Senate Office Building,,R,202-224-6342,2,NC,North Carolina,junior,2021-01-03,2015-01-06,02291,Sen,senthomtillis,,http://www.tillis.senate.gov,,98,2700,SenThomTillis
1,S001197,1972-02-22,senate,,N00035544,,,,[S4NE00090],Benjamin,M,412671,,True,Sasse,,S382,Eric,,,Sen.Sasse@opencongress.org,ocd-division/country:us/state:ne,B40e Dirksen Senate Office Building,,R,202-224-4224,2,NE,Nebraska,junior,2021-01-03,2015-01-06,02289,Sen,SenSasse,,http://www.sasse.senate.gov,,42,2053,SenSasse
2,R000605,1954-10-24,senate,,N00035187,,,,[S4SD00049],Mike,M,412669,,True,Rounds,,S381,,,,Sen.Rounds@opencongress.org,ocd-division/country:us/state:sd,4 Russell Senate Courtyard,,R,202-224-5842,2,SD,South Dakota,junior,2021-01-03,2015-01-06,02288,Sen,SenatorRounds,,http://www.rounds.senate.gov,,108,1500,SenatorRounds
3,S001198,1964-11-13,senate,,N00035774,,,,[S4AK00214],Dan,M,412665,,True,Sullivan,,S383,,,,Sen.Sullivan@opencongress.org,ocd-division/country:us/state:ak,B40a Dirksen Senate Office Building,,R,202-224-3004,2,AK,Alaska,junior,2021-01-03,2015-01-06,02290,Sen,SenDanSullivan,,http://www.sullivan.senate.gov,,126,880,SenDanSullivan
4,P000612,1949-12-10,senate,,N00035516,,,,[S4GA11285],David,M,412666,,True,Perdue,,S379,,,,Sen.Perdue@opencongress.org,ocd-division/country:us/state:ga,B40d Dirksen Senate Office Building,,R,202-224-3521,2,GA,Georgia,junior,2021-01-03,2015-01-06,02286,Sen,sendavidperdue,,http://www.perdue.senate.gov,,175,1903,sendavidperdue
5,E000295,1970-07-01,senate,,N00035483,,351671691660938,,[S4IA00129],Joni,F,412667,,True,Ernst,,S376,,,,Sen.Ernst@opencongress.org,ocd-division/country:us/state:ia,825 B&c Hart Senate Office Building,,R,202-224-3254,2,IA,Iowa,junior,2021-01-03,2015-01-06,02283,Sen,SenJoniErnst,,http://www.ernst.senate.gov,,90,4780,SenJoniErnst
6,S001194,1972-10-20,senate,http://www.schatz.senate.gov/contact,N00028138,,357806137657533,202-228-1153,"[S4HI00136, H6HI02244]",Brian,M,412507,41112.0,True,Schatz,,S353,Emanuel,,,Sen.Schatz@opencongress.org,ocd-division/country:us/state:hi,722 Hart Senate Office Building,,D,202-224-3934,3,HI,Hawaii,senior,2017-01-03,2015-01-06,02173,Sen,SenBrianSchatz,17852.0,http://www.schatz.senate.gov,senbrianschatz,211,4177,SenBrianSchatz
7,H001046,1971-10-17,senate,http://www.heinrich.senate.gov/contact/write-martin,N00029835,,137523189213,202-225-4975,"[H8NM01224, S2NM00088]",Martin,M,412281,20930.0,True,Heinrich,,S359,,,,Sen.Heinrich@opencongress.org,ocd-division/country:us/state:nm,702 Hart Senate Office Building,,D,202-224-5521,1,NM,New Mexico,junior,2019-01-03,2013-01-03,01937,Sen,MartinHeinrich,74517.0,http://www.heinrich.senate.gov,SenMartinHeinrich,1200,6484,MartinHeinrich
8,R000584,1943-05-03,senate,http://www.risch.senate.gov/public/index.cfm?p=Email,N00029441,,,202-224-2573,[S8ID00092],James,M,412322,40902.0,True,Risch,,S323,,,,Sen.Risch@opencongress.org,ocd-division/country:us/state:id,483 Russell Senate Office Building,,R,202-224-2752,2,ID,Idaho,junior,2021-01-03,2015-01-06,01896,Sen,SenatorRisch,2919.0,http://www.risch.senate.gov,SenatorJamesRisch,346,8245,SenatorRisch
9,B001230,1962-02-11,senate,http://www.baldwin.senate.gov/contact,N00004367,,7357041101,202-225-6942,"[H8WI00018, S2WI00219]",Tammy,F,400013,29940.0,True,Baldwin,,S354,,,,Sen.Baldwin@opencongress.org,ocd-division/country:us/state:wi,717 Hart,,D,202-224-5653,1,WI,Wisconsin,junior,2019-01-03,2013-01-03,01558,Sen,SenatorBaldwin,3470.0,http://www.baldwin.senate.gov,witammybaldwin,3223,13288,SenatorBaldwin
10,C001098,1970-12-22,senate,http://www.cruz.senate.gov/?p=email_senator,N00033085,,315496455229328,202-228-3398,[S2TX00312],Ted,M,412573,41304.0,True,Cruz,,S355,,,,Sen.Cruz@opencongress.org,ocd-division/country:us/state:tx,185 Dirksen Senate Office Building,,R,202-224-5922,1,TX,Texas,junior,2019-01-03,2013-01-03,02175,Sen,SenTedCruz,135705.0,http://www.cruz.senate.gov,sentedcruz,3198,409860,SenTedCruz
11,F000463,1951-03-01,senate,http://www.fischer.senate.gov/public/?p=email-deb,N00033443,,531623656856934,202-228-1325,[S2NE00094],Deb,F,412556,41302.0,True,Fischer,,S357,,,,Sen.Fischer@opencongress.org,ocd-division/country:us/state:ne,383 Russell Senate Office Building,,R,202-224-6551,1,NE,Nebraska,senior,2019-01-03,2013-01-03,02179,Sen,SenatorFischer,41963.0,http://www.fischer.senate.gov,senatordebfischer,399,9837,SenatorFischer
